Date,Team1,Team1_Position,Team1_Points,Team1_Win_Percentage,Team1_Rating,Team1_Kills_Per_Round,Team1_Deaths_Per_Round,Team1_Headshots,Team1_Rounds_Contributed,Team2,Team2_Position,Team2_Points,Team2_Win_Percentage,Team2_Rating,Team2_Kills_Per_Round,Team2_Deaths_Per_Round,Team2_Headshots,Team2_Rounds_Contributed,Score
14/12/2023,MOUZ,4,506,56.2,1.07,0.67,0.65,49.1,71.96,Heroic,15,190,56.5,1.1,0.69,0.65,51.2,73.28,1
13/12/2023,MOUZ,4,506,56.2,1.07,0.67,0.65,49.1,71.96,G2,5,445,60.0,1.06,0.66,0.65,50.42,72.06,0
01/12/2023,MOUZ,4,506,56.2,1.07,0.67,0.65,49.1,71.96,FURIA,14,190,42.9,1.01,0.64,0.67,49.46,70.22,0
30/11/2023,MOUZ,4,506,56.2,1.07,0.67,0.65,49.1,71.96,Complexity,9,267,41.2,1.07,0.67,0.65,49.86,72.82,1
30/11/2023,MOUZ,4,506,56.2,1.07,0.67,0.65,49.1,71.96,Apeks,12,224,59.1,1.03,0.65,0.66,52.46,70.04,0
15/02/2024,G2,5,445,60.0,1.06,0.66,0.65,50.42,72.06,FaZe,1,975,72.7,1.08,0.68,0.65,52.64,73.0,1
14/02/2024,G2,5,445,60.0,1.06,0.66,0.65,50.42,72.06,Eternal_Fire,16,189,65.0,1.09,0.68,0.64,50.0,72.58,1
09/02/2024,G2,5,445,60.0,1.06,0.66,0.65,50.42,72.06,FaZe,1,975,72.7,1.08,0.68,0.65,52.64,73.0,0
06/02/2024,G2,5,445,60.0,1.06,0.66,0.65,50.42,72.06,Heroic,15,190,56.5,1.1,0.69,0.65,51.2,73.28,1
06/02/2024,G2,5,445,60.0,1.06,0.66,0.65,50.42,72.06,Monte,10,263,73.3,1.11,0.7,0.65,51.68,73.08,1
05/02/2024,G2,5,445,60.0,1.06,0.66,0.65,50.42,72.06,ENCE,13,220,46.2,1.04,0.66,0.67,48.64,71.58,0
03/02/2024,G2,5,445,60.0,1.06,0.66,0.65,50.42,72.06,Heroic,15,190,56.5,1.1,0.69,0.65,51.2,73.28,1
28/01/2024,G2,5,445,60.0,1.06,0.66,0.65,50.42,72.06,Liquid,24,72,77.8,1.16,0.71,0.61,49.72,76.5,1
27/01/2024,G2,5,445,60.0,1.06,0.66,0.65,50.42,72.06,Natus_Vincere,6,431,66.7,1.09,0.67,0.63,48.58,73.52,0
26/01/2024,G2,5,445,60.0,1.06,0.66,0.65,50.42,72.06,Ninjas_in_Pyjamas,27,52,23.1,0.98,0.63,0.7,49.66,69.0,1
23/01/2024,G2,5,445,60.0,1.06,0.66,0.65,50.42,72.06,Natus_Vincere,6,431,66.7,1.09,0.67,0.63,48.58,73.52,0
22/01/2024,G2,5,445,60.0,1.06,0.66,0.65,50.42,72.06,Ninjas_in_Pyjamas,27,52,23.1,0.98,0.63,0.7,49.66,69.0,1
15/12/2023,G2,5,445,60.0,1.06,0.66,0.65,50.42,72.06,Natus_Vincere,6,431,66.7,1.09,0.67,0.63,48.58,73.52,0
14/12/2023,G2,5,445,60.0,1.06,0.66,0.65,50.42,72.06,FaZe,1,975,72.7,1.08,0.68,0.65,52.64,73.0,0
13/12/2023,G2,5,445,60.0,1.06,0.66,0.65,50.42,72.06,MOUZ,4,506,56.2,1.07,0.67,0.65,49.1,71.96,1
16/02/2024,Natus_Vincere,6,431,66.7,1.09,0.67,0.63,48.58,73.52,BetBoom,21,108,42.9,1.0,0.65,0.71,55.76,70.8,1
15/02/2024,Natus_Vincere,6,431,66.7,1.09,0.67,0.63,48.58,73.52,Virtus.pro,8,352,76.0,1.13,0.67,0.6,48.46,75.1,0
06/02/2024,Natus_Vincere,6,431,66.7,1.09,0.67,0.63,48.58,73.52,Falcons,7,399,46.2,1.03,0.66,0.67,50.9,70.88,0
05/02/2024,Natus_Vincere,6,431,66.7,1.09,0.67,0.63,48.58,73.52,Eternal_Fire,16,189,65.0,1.09,0.68,0.64,50.0,72.58,1
